alcohol_category,prevalence,se,critical,CI_low,CI_high,p_overall,p_method
Lifetime abstainers,17.189097999925785,2.3118877205399744,2.131449545559775,12.261425968595631,22.11677003125594,0.0029132650868307027,Design-adjusted Rao-Scott F test
Ever drinkers without past-year binge drinking,32.08232828089563,1.618578770158648,2.131449545559775,28.632409296788282,35.53224726500298,0.0029132650868307027,Design-adjusted Rao-Scott F test
Ever drinkers with past-year binge drinking,28.17596137293257,2.3997135772487574,2.131449545559775,23.061092959232084,33.290829786633054,0.0029132650868307027,Design-adjusted Rao-Scott F test
