outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble_alcohol_user,Sensitivity,3899,(Intercept),-2.8412129061518003,0.6720299799460133,-4.2278067808523145,15,Design-based Wald t test (df = PSU - strata),0.0583548440736654,0.013931387353326347,0.24443278623278925,7.307126475238389e-4,***
sleep_trouble_alcohol_user,Sensitivity,3899,alcohol_userYes,0.43649923319605893,0.20824730062726246,2.0960619027534952,15,Design-based Wald t test (df = PSU - strata),1.5472810560309078,0.9926577062191115,2.411786712935336,0.05344971348158036,NS
sleep_trouble_alcohol_user,Sensitivity,3899,age_group30-44,0.3167142941923948,0.1824348616562488,1.736040421863891,15,Design-based Wald t test (df = PSU - strata),1.3726103531490619,0.9304039718847803,2.024990475648261,0.10304505297118043,NS
sleep_trouble_alcohol_user,Sensitivity,3899,age_group45-59,0.5932621718919701,0.16284166679584217,3.6431841037082644,15,Design-based Wald t test (df = PSU - strata),1.8098829449569804,1.279121322235659,2.5608800490643824,0.0024031847668107816,**
sleep_trouble_alcohol_user,Sensitivity,3899,age_group60+,0.2603618555254496,0.1594686457018558,1.632683681356552,15,Design-based Wald t test (df = PSU - strata),1.2973994729036338,0.9235433708465445,1.8225948509031242,0.12334568817456168,NS
sleep_trouble_alcohol_user,Sensitivity,3899,genderMale,-0.3772085353426172,0.13778442346151007,-2.7376718344943396,15,Design-based Wald t test (df = PSU - strata),0.6857730510657193,0.5112538290264577,0.9198653405951277,0.015259863573635037,*
sleep_trouble_alcohol_user,Sensitivity,3899,race_ethnicityNon-Hispanic Black,-0.43106945598221946,0.14311458765258242,-3.012058121067724,15,Design-based Wald t test (df = PSU - strata),0.6498137757532644,0.4789730343877647,0.8815902208324826,0.008755067292658967,**
sleep_trouble_alcohol_user,Sensitivity,3899,race_ethnicityNon-Hispanic Asian,-0.4765945958282008,0.15250795275368392,-3.1250474957063403,15,Design-based Wald t test (df = PSU - strata),0.6208941913729906,0.4485847722967219,0.8593907343464611,0.006952151912843299,**
sleep_trouble_alcohol_user,Sensitivity,3899,race_ethnicityMexican American,-0.2762151054666313,0.24063142465973755,-1.1478762836450414,15,Design-based Wald t test (df = PSU - strata),0.7586497235056999,0.45424942105911925,1.2670338723455825,0.2689978107590067,NS
sleep_trouble_alcohol_user,Sensitivity,3899,race_ethnicityOther Hispanic,-0.23832064560256544,0.22949225113699778,-1.0384692486209368,15,Design-based Wald t test (df = PSU - strata),0.7879499978815896,0.483128893830446,1.2850922540341578,0.31550276656707416,NS
