variable,alcohol_category,estimate,se,CI_low,CI_high,p_overall,n_unweighted
age_years,Non-drinker,46.094141408834346,1.4831554799392088,43.18721008468028,49.00107273298841,1.8251993790007516e-7,585
age_years,Drinkers (non-binge),50.06051338924664,0.8952976718490137,48.30576219698001,51.81526458151326,1.8251993790007516e-7,2053
age_years,Binge drinker,39.67042330775014,0.6610811646822811,38.37472803411508,40.9661185813852,1.8251993790007516e-7,1437
bmi,Non-drinker,28.552821953283303,0.5058586450196374,27.561357227776583,29.544286678790023,0.004610654293525068,572
bmi,Drinkers (non-binge),30.057639497886697,0.3310768364084277,29.40874082241072,30.706538173362674,0.004610654293525068,2032
bmi,Binge drinker,29.56154043693715,0.3382587002778399,28.898565566935254,30.224515306939047,0.004610654293525068,1420
waist_circumference,Non-drinker,96.50212523526794,1.524816216494055,93.51354036789697,99.49071010263891,0.004799456652755119,540
waist_circumference,Drinkers (non-binge),101.15770271932716,0.688235255398172,99.80878640585603,102.5066190327983,0.004799456652755119,1983
waist_circumference,Binge drinker,99.65702476510843,0.8988846581090723,97.89524320895904,101.41880632125782,0.004799456652755119,1393
poverty_ratio,Non-drinker,2.627046258833727,0.14919735831436637,2.334624809949051,2.9194677077184026,0.001826832078726028,477
poverty_ratio,Drinkers (non-binge),3.241045956284753,0.07868404968798265,3.086828052738547,3.395263859830959,0.001826832078726028,1808
poverty_ratio,Binge drinker,3.161868904242046,0.08493539429045464,2.995398590420046,3.3283392180640456,0.001826832078726028,1282
depression_score,Non-drinker,2.2794163818453783,0.13732280760861904,2.010268624676562,2.5485641390141947,7.004661619233754e-4,564
depression_score,Drinkers (non-binge),3.0439661274119785,0.10826221231447712,2.8317760903889746,3.2561561644349823,7.004661619233754e-4,2042
depression_score,Binge drinker,3.322194383101507,0.131500954128296,3.0644572490773934,3.5799315171256207,7.004661619233754e-4,1432
