variable_1,drinks_per_day,drinking_frequency_rank,sleep_hours,age_years,bmi,waist_circumference,poverty_ratio,depression_score_no_sleep
drinks_per_day,0,3.5238150350792804e-66,0.11092172742261099,2.9973313344473208e-53,0.053728113225574615,0.039888589991004426,1.269352709405838e-13,2.1617471247523286e-6
drinking_frequency_rank,3.5238150350792804e-66,0,0.13678335270657077,9.571464210227074e-40,2.2503090384670694e-7,3.4265446945611706e-8,9.827353513867065e-23,0.3452492574847221
sleep_hours,0.11092172742261099,0.13678335270657077,0,0.30642392021636866,5.40050600514556e-6,9.891883792320035e-5,1.0130261442979248e-8,0.5545320603519664
age_years,2.9973313344473208e-53,9.571464210227074e-40,0.30642392021636866,0,8.078614007994132e-6,4.975703195948508e-59,5.8973113149098e-11,1.4781164027401957e-4
bmi,0.053728113225574615,2.2503090384670694e-7,5.40050600514556e-6,8.078614007994132e-6,0,0,0.11124047654376451,3.0672649313024067e-13
waist_circumference,0.039888589991004426,3.4265446945611706e-8,9.891883792320035e-5,4.975703195948508e-59,0,0,0.117635452092166,4.971558214603761e-10
poverty_ratio,1.269352709405838e-13,9.827353513867065e-23,1.0130261442979248e-8,5.8973113149098e-11,0.11124047654376451,0.117635452092166,0,2.2511424096189662e-31
depression_score_no_sleep,2.1617471247523286e-6,0.3452492574847221,0.5545320603519664,1.4781164027401957e-4,3.0672649313024067e-13,4.971558214603761e-10,2.2511424096189662e-31,0
