variable_1,drinks_per_day,drinking_frequency_rank,sleep_hours,age_years,bmi,waist_circumference,poverty_ratio,depression_score_no_sleep
drinks_per_day,1,0.28508066185723185,-0.027050024631104983,-0.2558073870200148,0.03284013594981186,0.03537357407151955,-0.13277542089971187,0.08027971963572018
drinking_frequency_rank,0.28508066185723185,1,-0.022139145630185108,-0.193977327967605,-0.07719760934804215,-0.0834094507394657,0.15409656950746778,-0.014077907549875016
sleep_hours,-0.027050024631104983,-0.022139145630185108,0.9999999999999999,-0.013406303916693485,-0.06182502247961996,-0.05417679701242608,-0.08089304275044057,-0.008323967608840863
age_years,-0.2558073870200148,-0.193977327967605,-0.013406303916693485,1,0.06050310741487702,0.2222453547940684,0.09221118640171272,-0.053279447737092867
bmi,0.03284013594981186,-0.07719760934804215,-0.06182502247961996,0.06050310741487702,1,0.9105407733594675,-0.0231946616375823,0.10276597487673264
waist_circumference,0.03537357407151955,-0.0834094507394657,-0.05417679701242608,0.2222453547940684,0.9105407733594675,1,-0.023257344996156105,0.08904934531488637
poverty_ratio,-0.13277542089971187,0.15409656950746778,-0.08089304275044057,0.09221118640171272,-0.0231946616375823,-0.023257344996156105,1,-0.17362032944328085
depression_score_no_sleep,0.08027971963572018,-0.014077907549875016,-0.008323967608840863,-0.053279447737092867,0.10276597487673264,0.08904934531488637,-0.17362032944328085,0.9999999999999999
